"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"/Niagara/DefaultAssets/M_Gnomon_Alpha.M_Gnomon_Alpha","21","4","0","4","4","Compiling M_Gnomon_Alpha: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraMeshParticles}"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","21","10","0","10","10","Compiling DefaultRibbonMaterial_NoGradient: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithParticleSprites,bUsedWithNiagaraSprites,bUsedWithNiagaraRibbons}"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","0","0","2","0","Compiling PhAT_UnselectedMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","0","0","4","0","Compiling DebugEditorMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/OculusXR/Materials/M_FloorMask.M_FloorMask","21","0","0","2","0","Compiling M_FloorMask: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/OculusXR/Materials/M_SceneObjectMask.M_SceneObjectMask","21","0","0","2","0","Compiling M_SceneObjectMask: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","0","0","2","0","Compiling PhAT_NoCollisionMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","0","0","17","0","Compiling M_DynamicMeshComponentVtxColor: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","0","0","2","0","Compiling DebugMeshMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","0","0","2","0","Compiling RemoveSurfaceMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","0","0","2","0","Compiling ControlRigGizmoMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","0","0","4","0","Compiling GizmoMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","0","0","20","0","Compiling NaniteHiddenSectionMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={}"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","21","0","0","30","0","Compiling DataflowVertexMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","21","0","0","135","0","Compiling BasicShapeMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting,bUsedWithInstancedStaticMeshes,bUsedWithGeometryCollections,bUsedWithNanite}"
"/OculusXR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","0","0","2","0","Compiling OculusMR_OpaqueColoredMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/OculusXR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","0","0","2","0","Compiling PokeAHoleMaterial: Platform=VULKAN_ES3_1_ANDROID, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
